,cell_type,tissue
1212,right lung tissue female embryo 107 days,lung
1213,right lung tissue female embryo 108 days,lung
1214,right lung tissue female embryo 110 days,lung
1215,right lung tissue female embryo 117 days,lung
1216,right lung tissue female embryo 91 days,lung
1217,right lung tissue female embryo 98 days,lung
1218,right lung tissue male embryo 105 days,lung
1219,right lung tissue male embryo 115 days,lung
1220,right lung tissue male embryo 87 days,lung
1221,right lung tissue male embryo 96 days,lung
1222,right renal cortex interstitium tissue male embryo 105 days donor ENCDO378UAU,kidney
1223,right renal cortex interstitium tissue male embryo 105 days donor ENCDO513BVP,kidney
1224,right renal cortex interstitium tissue male embryo 120 days,kidney
1225,right renal pelvis tissue male embryo 105 days donor ENCDO171HMD,kidney
1226,right renal pelvis tissue male embryo 105 days donor ENCDO378UAU,kidney
1227,right renal pelvis tissue male embryo 105 days donor ENCDO513BVP,kidney
1228,right renal pelvis tissue male embryo 120 days,kidney
1229,Right ventricle myocardium inferior tissue male adult 60 years,heart
1230,Right ventricle myocardium superior tissue male adult 60 years,heart
1231,RKO,large intestine
1232,RPMI7951,epithelium
1233,RPMI8226,blood
1234,RWPE1,epithelium
1235,RWPE2,epithelium
1236,sciatic nerve tissue female adult 41 years,nerve
1237,sigmoid colon tissue female adult 51 years,intestine
1238,sigmoid colon tissue female adult 53 years,intestine
1239,sigmoid colon tissue male adult 34 years,intestine
1240,sigmoid colon tissue male adult 37 years,intestine
1241,sigmoid colon tissue male adult 54 years,intestine
1242,sigmoid colon tissue male child 3 years,colon
1243,SJCRH30,connective tissue
1244,SJCRH30 originated from SJCRH30,connective tissue
1245,SJSA1,bone element
1246,SJSA1 originated from SJSA1,bone element
1247,SK-MEL-5,epithelium
1248,SK-N-DZ,brain
1249,SK-N-DZ treated with dimethyl sulfoxide for 72 hours,brain
1250,SK-N-MC,brain
1251,SK-N-SH,brain
1252,SK-N-SH treated with 6 ?M all-trans-retinoic acid for 48 hours,brain
1253,skeletal muscle cell,musculature of body
1254,skeletal muscle myoblast,musculature of body
1255,skeletal muscle myoblast male adult 22 years,musculature of body
1256,skeletal muscle satellite cell female adult originated from mesodermal cell,musculature of body
1257,skeletal muscle tissue tissue,musculature of body
1258,skeletal muscle tissue tissue female adult 72 years,musculature of body
1259,skeletal muscle tissue tissue male adult 54 years,musculature of body
1260,skin epidermis tissue female adult 48 years,skin of body
1261,skin epidermis tissue female adult 48 years with basal cell carcinoma,skin of body
1262,skin epidermis tissue female adult 64 years,skin of body
1263,skin epidermis tissue female adult 64 years with squamous cell carcinoma,skin of body
1264,skin epidermis tissue female adult 66 years,skin of body
1265,skin epidermis tissue female adult 71 years,skin of body
1266,skin epidermis tissue female adult 71 years with squamous cell carcinoma,skin of body
1267,skin epidermis tissue female adult 80 years,skin of body
1268,skin epidermis tissue female adult 80 years with squamous cell carcinoma,skin of body
1269,skin epidermis tissue male adult 58 years,skin of body
1270,skin epidermis tissue male adult 58 years with basal cell carcinoma,skin of body
1271,skin epidermis tissue male adult 65 years,skin of body
1272,skin epidermis tissue male adult 65 years with basal cell carcinoma,skin of body
1273,skin epidermis tissue male adult 67 years,skin of body
1274,skin epidermis tissue male adult 67 years with basal cell carcinoma,skin of body
1275,skin epidermis tissue male adult 75 years,skin of body
1276,skin epidermis tissue male adult 75 years with squamous cell carcinoma,skin of body
1277,skin epidermis tissue male adult 77 years,skin of body
1278,skin epidermis tissue male adult 77 years with basal cell carcinoma,skin of body
1279,skin epidermis tissue male adult 78 years,skin of body
1280,skin epidermis tissue male adult 78 years with squamous cell carcinoma,skin of body
1281,skin epidermis tissue male adult 84 years with squamous cell carcinoma,skin of body
1282,skin of body tissue female embryo 82 days,skin of body
1283,small intestine tissue female adult 30 years,intestine
1284,small intestine tissue female embryo 105 days,intestine
1285,small intestine tissue female embryo 107 days,intestine
1286,small intestine tissue female embryo 108 days,intestine
1287,small intestine tissue female embryo 110 days,intestine
1288,small intestine tissue female embryo 120 days,intestine
1289,small intestine tissue female embryo 91 days,intestine
1290,small intestine tissue female embryo 98 days,intestine
1291,small intestine tissue male adult 34 years,intestine
1292,small intestine tissue male child 3 years,intestine
1293,small intestine tissue male embryo 105 days,intestine
1294,small intestine tissue male embryo 108 days,intestine
1295,small intestine tissue male embryo 115 days,intestine
1296,small intestine tissue male embryo 87 days,intestine
1297,small intestine tissue male embryo 91 days,intestine
1298,smooth muscle cell of the brain vasculature female,vasculature
1299,smooth muscle cell originated from H9,musculature of body
1300,spinal cord tissue female embryo 108 days,spinal cord
1301,spinal cord tissue female embryo 113 days,spinal cord
1302,spinal cord tissue female embryo 59 days and male embryo 72 days,spinal cord
1303,spinal cord tissue female embryo 87 days,spinal cord
1304,spinal cord tissue female embryo 89 days,spinal cord
1305,spinal cord tissue male embryo 105 days,spinal cord
1306,spinal cord tissue male embryo 96 days,spinal cord
1307,spleen tissue embryo 112 days,spleen
1308,spleen tissue female adult 20 years and female adult 30 years,immune organ
1309,spleen tissue female adult 30 years,immune organ
1310,spleen tissue female adult 41 years,immune organ
1311,spleen tissue female adult 51 years,spleen
1312,spleen tissue female adult 53 years,spleen
1313,spleen tissue female adult 59 years,spleen
1314,spleen tissue female adult 61 years,spleen
1315,spleen tissue male adult 26 years,immune organ
1316,spleen tissue male adult 34 years,spleen
1317,spleen tissue male adult 37 years,spleen
1318,spleen tissue male adult 54 years,spleen
1319,spleen tissue male child 3 years,immune organ
1320,stomach smooth muscle tissue female adult 84 years,musculature of body
1321,stomach smooth muscle tissue male adult 59 years,musculature of body
1322,stomach tissue embryo 101 days,stomach
1323,stomach tissue female adult 30 years,stomach
1324,stomach tissue female adult 51 years,stomach
1325,stomach tissue female adult 53 years,stomach
1326,stomach tissue female embryo,stomach
1327,stomach tissue female embryo 105 days donor ENCDO766MZV,stomach
1328,stomach tissue female embryo 105 days donor ENCDO863KZW,stomach
1329,stomach tissue female embryo 107 days,stomach
1330,stomach tissue female embryo 108 days,stomach
1331,stomach tissue female embryo 121 days,stomach
1332,stomach tissue female embryo 147 days,stomach
1333,stomach tissue female embryo 96 days donor ENCDO188ZLA,stomach
1334,stomach tissue female embryo 96 days donor ENCDO613NXA,stomach
1335,stomach tissue female embryo 96 days donor ENCDO870OBN,stomach
1336,stomach tissue female embryo 98 days,stomach
1337,stomach tissue male adult 34 years,stomach
1338,stomach tissue male adult 37 years,stomach
1339,stomach tissue male adult 54 years,stomach
1340,stomach tissue male child 3 years,stomach
1341,stomach tissue male embryo 108 days,stomach
1342,stomach tissue male embryo 127 days,stomach
1343,stomach tissue male embryo 58 days and male embryo 76 days,stomach
1344,stomach tissue male embryo 91 days,stomach
1345,stromal cell of bone marrow male,bone marrow
1346,SU-DHL-6,blood
1347,subcutaneous abdominal adipose tissue tissue nuclear fraction female adult 25 years,adipose tissue
1348,subcutaneous abdominal adipose tissue tissue nuclear fraction female adult 41 years,adipose tissue
1349,subcutaneous abdominal adipose tissue tissue nuclear fraction female adult 49 years,adipose tissue
1350,subcutaneous abdominal adipose tissue tissue nuclear fraction female adult 59 years,adipose tissue
1351,subcutaneous abdominal adipose tissue tissue nuclear fraction female adult 81 years,adipose tissue
1352,subcutaneous adipose tissue tissue female adult 53 years,adipose tissue
1353,substantia nigra tissue female adult 75 years,brain
1354,substantia nigra tissue male adult 81 years,brain
1355,superior temporal gyrus tissue male adult 84 years,brain
1356,suppressor macrophage male adult 21 years and male adult 24 years,
1357,suppressor macrophage male adult 21 years and male adult 24 years and male adult 40 years; treated with lipopolysaccharide for 1 hour,
1358,suppressor macrophage male adult 21 years and male adult 40 years,
1359,suppressor macrophage male adult 21 years treated with lipopolysaccharide for 4 hours,
1360,suprapubic skin tissue female adult 51 years,skin of body
1361,suprapubic skin tissue female adult 53 years,skin of body
1362,suprapubic skin tissue male adult 37 years,skin of body
1363,suprapubic skin tissue male adult 54 years,skin of body
1364,SW480,large intestine
1365,T-cell,bodily fluid
1366,T-cell female adult 18 years,blood
1367,T-cell female adult 19 years,blood
1368,T-cell female adult 22 years,blood
1369,T-cell female adult 23 years,blood
1370,T-cell female adult 24 years,blood
1371,T-cell female adult 25 years,blood
1372,T-cell female adult 28 years,blood
1373,T-cell female adult 31 years,blood
1374,T-cell female adult 32 years donor ENCDO473DQU,blood
1375,T-cell female adult 32 years donor ENCDO808WEZ,blood
1376,T-cell female adult 33 years donor ENCDO188AUM,blood
1377,T-cell female adult 33 years donor ENCDO204VTZ,blood
1378,T-cell female adult 33 years donor ENCDO299FMV,blood
1379,T-cell female adult 35 years,blood
1380,T-cell female adult 40 years,blood
1381,T-cell female adult 43 years,blood
1382,T-cell female adult 53 years,blood
1383,T-cell male adult 19 years donor ENCDO654TNZ,blood
1384,T-cell male adult 19 years donor ENCDO737NEB,blood
1385,T-cell male adult 21 years donor ENCDO190HXC,blood
1386,T-cell male adult 21 years donor ENCDO394DKX,blood
1387,T-cell male adult 21 years donor ENCDO865QXP,blood
1388,T-cell male adult 21 years treated with 7.5 ?g/kg G-CSF for 4 days,blood
1389,T-cell male adult 24 years donor ENCDO786GVO,blood
1390,T-cell male adult 24 years donor ENCDO937YKH,blood
1391,T-cell male adult 25 years donor ENCDO240EBF,blood
1392,T-cell male adult 25 years donor ENCDO637QAZ,blood
1393,T-cell male adult 26 years donor ENCDO769UME,blood
1394,T-cell male adult 26 years donor ENCDO838UOH,blood
1395,T-cell male adult 27 years,blood
1396,T-cell male adult 28 years donor ENCDO000TPT,blood
1397,T-cell male adult 28 years donor ENCDO249TXE,blood
1398,T-cell male adult 28 years donor ENCDO256UFN,blood
1399,T-cell male adult 28 years donor ENCDO648MMV,blood
1400,T-cell male adult 30 years donor ENCDO091HDH,blood
1401,T-cell male adult 30 years donor ENCDO656FVT,blood
1402,T-cell male adult 33 years,blood
1403,T-cell male adult 34 years donor ENCDO348MRX,blood
1404,T-cell male adult 34 years donor ENCDO496TPO,blood
1405,T-cell male adult 34 years donor ENCDO712ENO,blood
1406,T-cell male adult 36 years donor ENCDO441UHQ,blood
1407,T-cell male adult 36 years donor ENCDO462FPT,blood
1408,T-cell male adult 37 years donor ENCDO028NGF,bodily fluid
1409,T-cell male adult 37 years donor ENCDO147QAL,blood
1410,T-cell male adult 38 years donor ENCDO323QDI,blood
1411,T-cell male adult 38 years donor ENCDO923WRX,bodily fluid
1412,T-cell male adult 39 years,blood
1413,T-cell male adult 40 years,blood
1414,T-cell male adult 42 years,blood
1415,T-cell male adult 47 years,blood
1416,T-cell male adult 48 years,blood
1417,T-cell male adult 49 years,blood
1418,T-cell male adult 55 years,blood
1419,T-helper 17 cell,blood
1420,T-helper 17 cell female adult 25 years and male adult 30 years,blood
1421,T-helper 17 cell male adult 24 years,blood
1422,T-helper 17 cell male adult 42 years,blood
1423,T-helper 17 cell treated with phorbol 13-acetate 12-myristate ; ionomycin,bodily fluid
1424,T-helper 1 cell donor ENCDO174AAA,blood
1425,T-helper 1 cell donor ENCDO334AAA,blood
1426,T-helper 1 cell female adult 26 years,blood
1427,T-helper 1 cell female adult 33 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
1428,T-helper 1 cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours,blood
1429,T-helper 1 cell male adult 24 years,blood
1430,T-helper 1 cell male adult 30 years,blood
1431,T-helper 1 cell male adult 33 years,blood
1432,T-helper 1 cell male adult 38 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
1433,T-helper 1 cell male adult 42 years,blood
1434,T-helper 1 cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
1435,T-helper 1 cell male adult 56 years,blood
1436,T-helper 22 cell female adult 25 years,blood
1437,T-helper 2 cell,blood
1438,T-helper 2 cell female adult 26 years,blood
1439,T-helper 2 cell male adult 24 years,blood
1440,T-helper 2 cell male adult 30 years,blood
1441,T-helper 2 cell male adult 33 years,blood
1442,T-helper 2 cell male adult 38 years,blood
1443,T-helper 2 cell male adult 42 years,blood
1444,T-helper 9 cell female adult 25 years,blood
1445,T-helper 9 cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
1446,T47D,epithelium
1447,T47D treated with 0.02% dimethyl sulfoxide for 1 hour,mammary gland
1448,T47D treated with 10 nM 17?-estradiol for 30 minutes,epithelium
1449,T follicular helper cell female adult 25 years,
1450,temporal lobe tissue female adult 75 years,brain
1451,temporal lobe tissue male adult 81 years,brain
1452,testis tissue male adult 37 years,gonad
1453,testis tissue male adult 54 years,testis
1454,testis tissue male embryo donor ENCDO482LIM,gonad
1455,testis tissue male embryo donor ENCDO836UAR,gonad
1456,thoracic aorta tissue male adult 37 years,blood vessel
1457,thoracic aorta tissue male adult 54 years,arterial blood vessel
1458,thymus tissue female embryo,endocrine gland
1459,thymus tissue female embryo 105 days,endocrine gland
1460,thymus tissue female embryo 110 days,thymus
1461,thymus tissue female embryo 113 days,endocrine gland
1462,thymus tissue female embryo 147 days,endocrine gland
1463,thymus tissue female embryo 98 days,endocrine gland
1464,thymus tissue male child 3 years,endocrine gland
1465,thymus tissue male embryo 104 days,endocrine gland
1466,thymus tissue male embryo 108 days,endocrine gland
1467,thymus tissue male embryo 113 days,endocrine gland
1468,thymus tissue male embryo 127 days,endocrine gland
1469,thyroid gland tissue female adult 51 years,endocrine gland
1470,thyroid gland tissue female adult 53 years,thyroid gland
1471,thyroid gland tissue male adult 37 years,thyroid gland
1472,thyroid gland tissue male adult 54 years,thyroid gland
1473,tibial artery tissue female adult 53 years,blood vessel
1474,tibial artery tissue male adult 37 years,vasculature
1475,tibial artery tissue male adult 54 years,arterial blood vessel
1476,tibial nerve tissue female adult 51 years,limb
1477,tibial nerve tissue female adult 53 years,nerve
1478,tibial nerve tissue male adult 37 years,nerve
1479,tibial nerve tissue male adult 54 years,limb
1480,tongue tissue female embryo 59 days and female embryo 76 days,mouth
1481,tongue tissue male embryo 72 days,mouth
1482,transverse colon tissue female adult 51 years,intestine
1483,transverse colon tissue female adult 53 years,colon
1484,transverse colon tissue male adult 37 years,intestine
1485,transverse colon tissue male adult 54 years,colon
1486,trophoblast cell embryo 17 weeks and embryo 18 weeks,extraembryonic component
1487,trophoblast cell embryo 21 weeks,extraembryonic component
1488,trophoblast cell embryo 23 weeks,extraembryonic component
1489,trophoblast cell embryo 39 weeks and embryo 40 weeks,extraembryonic component
1490,trophoblast cell originated from H1,extraembryonic component
1491,trophoblast tissue female embryo 20 weeks,embryo
1492,trophoblast tissue female embryo 40 weeks,embryo
1493,UCSF-4,embryo
1494,umbilical cord tissue embryo 59 days and male embryo 76 days,extraembryonic component
1495,upper lobe of left lung tissue female adult 51 years,lung
1496,upper lobe of left lung tissue female adult 53 years,lung
1497,upper lobe of left lung tissue female adult 61 years,lung
1498,upper lobe of left lung tissue male adult 37 years,lung
1499,upper lobe of left lung tissue male adult 54 years,lung
1500,upper lobe of left lung tissue male adult 60 years,lung
1501,upper lobe of right lung tissue male adult 60 years,lung
1502,ureter tissue female adult 47 years,kidney
1503,urinary bladder tissue male adult 34 years,urinary bladder
1504,urinary bladder tissue male embryo 76 days,urinary bladder
1505,urothelium cell line,epithelium
1506,urothelium cell line treated with UT189 for 1 hour,epithelium
1507,uterus tissue female adult 51 years,uterus
1508,uterus tissue female adult 53 years,uterus
1509,uterus tissue female adult 59 years,uterus
1510,vagina tissue female adult 51 years,vagina
1511,vagina tissue female adult 53 years,vagina
1512,VCaP,epithelium
1513,WERI-Rb-1,eye
1514,WI38,lung
1515,WI38 genetically modified using stable transfection originated from WI38,connective tissue
1516,WI38 genetically modified using stable transfection originated from WI38 treated with 20 nM afimoxifene for 72 hours,connective tissue
1517,WI38 genetically modified using stable transfection treated with 20 nM afimoxifene for 72 hours,lung
